GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
my-app,TP.myapp,App,7,0,0,0,3,0,2,0,2,0
my-app,TP.myapp,AwesomePasswordChecker,8,1048,1,37,1,118,1,27,0,8
